Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS Dashboard Admin - Job Vacancy,Chrome 102.0.5005.63,,,2022-06-09 00:39:40,2022-06-09 00:41:01,"1m - 21,283s",PASSED
,,,,,,,
Test Cases/TC Dashboard Admin - Job Vacancy,Chrome 102.0.5005.63,,,2022-06-09 00:39:41,2022-06-09 00:41:01,"1m - 20,525s",PASSED
"openBrowser("""")",Chrome 102.0.5005.63,,,2022-06-09 00:39:41,2022-06-09 00:40:12,"30,179s",PASSED
"navigateToUrl(""https://cms-comphy.herokuapp.com/login"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:12,2022-06-09 00:40:16,"4,402s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Admin Comphy - Login/input_Welcome Back Admin Comphy_inputEmail""), ""momyuke"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:16,2022-06-09 00:40:18,"2,153s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Admin Comphy - Login/input_Welcome Back Admin Comphy_inputPassword""), ""ToCzUskD2PjAeQobUQ1UgQ=="")",Chrome 102.0.5005.63,,,2022-06-09 00:40:18,2022-06-09 00:40:19,"0,531s",PASSED
"click(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Admin Comphy - Login/a_Login""))",Chrome 102.0.5005.63,,,2022-06-09 00:40:19,2022-06-09 00:40:19,"0,522s",PASSED
"click(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/a_Lowongan""))",Chrome 102.0.5005.63,,,2022-06-09 00:40:19,2022-06-09 00:40:24,"5,146s",PASSED
"click(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/a_Tambah Data""))",Chrome 102.0.5005.63,,,2022-06-09 00:40:24,2022-06-09 00:40:26,"1,272s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Judul Lowongan_title""), ""Videographer"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:26,2022-06-09 00:40:26,"0,860s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Nama Perusahaan_jobCompanyName""), ""PT Astronacci International"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:26,2022-06-09 00:40:27,"1,033s",PASSED
